"我們讚美主為上帝，認為萬物的主；*","congregation","hangingIndent"
"普天之下皆敬拜主，無始無終的父。","congregation","indent"
"天和天使，並天上一切掌權者，*","congregation","hangingIndent"
"基路伯和撒拉弗，時常大聲稱頌主，說：","congregation","indent"
"聖哉，聖哉，聖哉，天地萬軍的主，*","congregation","hangingIndent"
"主的榮耀威嚴充滿天地。","congregation","indent"
"有榮耀的眾使徒都讚美主。*","congregation","hangingIndent"
"有名望的眾先知都讚美主。","congregation","indent"
"為道捨命、穿白衣的聖徒都讚美主。*","congregation","hangingIndent"
"普世聖教會都承認主：","congregation","indent"
"威嚴無量的聖父，至尊至真的獨一聖子，*","congregation","hangingIndent"
"安慰人的聖靈。","congregation","indent"
"基督是有榮耀的王，*","congregation","hangingIndent"
"是聖父無始無終的聖子。","congregation","indent"
"主要成為人拯救世人，*","congregation","hangingIndent"
"甘心為童貞女所生。","congregation","indent"
"主既勝了死的毒鈎，*","congregation","hangingIndent"
"即為眾信徒大開天國的門。","congregation","indent"
"主坐在上帝的右邊，與聖父同榮。*","congregation","hangingIndent"
"我們信主必再降臨，施行審判。","congregation","indent"
"所以求主拯救主的僕人，*","congregation","hangingIndent"
"就是主用寶血所救贖的人，","congregation","indent"
"使我們得列於聖徒中，*","congregation","hangingIndent"
"同享無窮的榮耀。","congregation","hangingIndent"
"","congregation","hangingIndent"
"The following verses may be omitted","rubric",""
"","congregation","hangingIndent"
"求主拯救主的百姓，賜福與主的選民；*","congregation","hangingIndent"
"求主治理我們，扶助我們以至永遠。", "congregation","indent"
"我們天天頌主為大；*","congregation","hangingIndent"
"我們尊奉主的聖名永世無盡。","congregation","indent"
"求主保佑我們，今天不犯罪；*","congregation","hangingIndent"
"求主憐憫我們，憐憫我們。","congregation","indent"
"求主施憐恤與我們，*","congregation","hangingIndent"
"因為我們倚靠主。","congregation","indent"
"我們惟倚靠主，*","congregation","hangingIndent"
"求主使我們永不羞愧。","congregation","indent"
